starting_word,file,solutions_found,minimum_guesses,maximum_guesses,expected_guesses,total_guesses,first_guess_solves,solved_in_1,solved_in_2,solved_in_3,solved_in_4,solved_in_5,solved_in_6,solved_in_7_plus
tarse,tarse.txt,2309,2,6,3.414032,7883,0,0,77,1271,890,70,1,0
salet,salet.txt,2309,2,5,3.418796,7894,0,0,90,1239,903,77,0,0
reast,reast.txt,2309,2,6,3.419662,7896,0,0,83,1257,887,81,1,0
crate,crate.txt,2309,1,6,3.420961,7899,1,1,88,1245,889,85,1,0
slate,slate.txt,2309,1,6,3.420961,7899,1,1,82,1266,869,86,5,0
trace,trace.txt,2309,1,6,3.420961,7899,1,1,92,1236,895,84,1,0
crane,crane.txt,2309,1,6,3.422261,7902,1,1,87,1242,895,83,1,0
carle,carle.txt,2309,2,6,3.425292,7909,0,0,83,1243,903,78,2,0
carne,carne.txt,2309,2,6,3.428757,7917,0,0,88,1235,896,88,2,0
slane,slane.txt,2309,2,6,3.428757,7917,0,0,81,1252,884,89,3,0
slant,slant.txt,2309,1,6,3.430489,7921,1,1,80,1230,921,76,1,0
torse,torse.txt,2309,2,5,3.430489,7921,0,0,82,1234,910,83,0,0
carte,carte.txt,2309,2,6,3.430922,7922,0,0,94,1215,912,87,1,0
sater,sater.txt,2309,2,6,3.431356,7923,0,0,71,1249,913,74,2,0
least,least.txt,2309,1,6,3.432655,7926,1,1,79,1236,908,83,2,0
trice,trice.txt,2309,1,6,3.433088,7927,1,1,84,1227,910,85,2,0
prate,prate.txt,2309,2,6,3.435253,7932,0,0,88,1213,924,83,1,0
trine,trine.txt,2309,2,6,3.435253,7932,0,0,86,1225,908,87,3,0
caret,caret.txt,2309,2,6,3.436553,7935,0,0,89,1214,916,89,1,0
slart,slart.txt,2309,2,6,3.436986,7936,0,0,75,1224,937,72,1,0
clast,clast.txt,2309,2,6,3.439151,7941,0,0,79,1210,949,69,2,0
rance,rance.txt,2309,2,6,3.439151,7941,0,0,77,1225,924,82,1,0
trone,trone.txt,2309,2,6,3.439151,7941,0,0,75,1233,915,84,2,0
roast,roast.txt,2309,1,6,3.439584,7942,1,1,76,1226,922,81,3,0
stale,stale.txt,2309,1,6,3.439584,7942,1,1,84,1219,914,86,5,0
tiare,tiare.txt,2309,2,6,3.439584,7942,0,0,79,1232,905,90,3,0
ranse,ranse.txt,2309,2,6,3.44045,7944,0,0,64,1235,940,69,1,0
earst,earst.txt,2309,2,6,3.440883,7945,0,0,83,1219,916,88,3,0
train,train.txt,2309,1,6,3.440883,7945,1,1,85,1217,909,95,2,0
carse,carse.txt,2309,2,6,3.441317,7946,0,0,77,1229,912,89,2,0
lance,lance.txt,2309,1,6,3.441317,7946,1,1,76,1218,932,81,1,0
stare,stare.txt,2309,1,6,3.442183,7948,1,1,68,1241,911,84,4,0
crine,crine.txt,2309,2,6,3.442616,7949,0,0,70,1229,930,78,2,0
trade,trade.txt,2309,1,6,3.442616,7949,1,1,81,1215,924,83,5,0
trape,trape.txt,2309,2,6,3.442616,7949,0,0,86,1205,929,88,1,0
leant,leant.txt,2309,1,6,3.443049,7950,1,1,81,1206,937,83,1,0
taser,taser.txt,2309,2,6,3.443049,7950,0,0,76,1215,939,77,2,0
reist,reist.txt,2309,2,6,3.443915,7952,0,0,90,1205,917,93,4,0
roist,roist.txt,2309,2,6,3.443915,7952,0,0,78,1219,923,87,2,0
saint,saint.txt,2309,1,6,3.444348,7953,1,1,78,1214,928,86,2,0
snare,snare.txt,2309,1,6,3.444348,7953,1,1,73,1229,915,87,4,0
scale,scale.txt,2309,1,6,3.445214,7955,1,1,78,1208,939,80,3,0
react,react.txt,2309,1,5,3.445647,7956,1,1,89,1190,938,91,0,0
stane,stane.txt,2309,2,6,3.446081,7957,0,0,72,1223,930,80,4,0
toile,toile.txt,2309,2,5,3.446081,7957,0,0,70,1232,914,93,0,0
peart,peart.txt,2309,2,6,3.446947,7959,0,0,96,1179,941,92,1,0
crone,crone.txt,2309,1,5,3.447813,7961,1,1,75,1211,933,89,0,0
loast,loast.txt,2309,2,6,3.447813,7961,0,0,68,1225,932,82,2,0
parte,parte.txt,2309,2,5,3.447813,7961,0,0,91,1173,965,80,0,0
slice,slice.txt,2309,1,6,3.447813,7961,1,1,74,1220,921,90,3,0
sacre,sacre.txt,2309,2,6,3.448246,7962,0,0,73,1229,907,99,1,0
clart,clart.txt,2309,2,6,3.449112,7964,0,0,80,1198,946,84,1,0
plate,plate.txt,2309,1,6,3.449112,7964,1,1,87,1182,955,81,3,0
riant,riant.txt,2309,2,6,3.449112,7964,0,0,79,1210,925,94,1,0
drant,drant.txt,2309,2,6,3.449545,7965,0,0,75,1228,905,95,6,0
roset,roset.txt,2309,2,5,3.449545,7965,0,0,72,1216,932,89,0,0
crise,crise.txt,2309,2,6,3.449978,7966,0,0,69,1221,935,79,5,0
alist,alist.txt,2309,2,6,3.450845,7968,0,0,77,1216,917,96,3,0
corse,corse.txt,2309,2,6,3.450845,7968,0,0,78,1203,938,89,1,0
roate,roate.txt,2309,2,6,3.450845,7968,0,0,70,1225,918,95,1,0
saner,saner.txt,2309,1,6,3.450845,7968,1,1,76,1192,963,75,2,0
sorel,sorel.txt,2309,2,6,3.451278,7969,0,0,63,1231,928,84,3,0
dealt,dealt.txt,2309,1,5,3.451711,7970,1,1,85,1171,974,78,0,0
plane,plane.txt,2309,1,6,3.452144,7971,1,1,89,1163,980,73,3,0
resat,resat.txt,2309,2,6,3.452144,7971,0,0,78,1207,927,96,1,0
close,close.txt,2309,1,6,3.452577,7972,1,1,68,1213,942,82,3,0
tares,tares.txt,2309,2,6,3.452577,7972,0,0,72,1209,940,87,1,0
parse,parse.txt,2309,1,6,3.45301,7973,1,1,90,1173,955,87,3,0
soare,soare.txt,2309,2,6,3.453443,7974,0,0,62,1237,916,89,5,0
canst,canst.txt,2309,2,6,3.453876,7975,0,0,67,1210,951,79,2,0
ronte,ronte.txt,2309,2,5,3.453876,7975,0,0,76,1192,958,83,0,0
stile,stile.txt,2309,2,6,3.453876,7975,0,0,75,1202,943,87,2,0
caner,caner.txt,2309,2,6,3.454309,7976,0,0,82,1190,946,88,3,0
sault,sault.txt,2309,2,6,3.454309,7976,0,0,77,1198,945,86,3,0
artel,artel.txt,2309,2,6,3.454742,7977,0,0,77,1195,949,86,2,0
strae,strae.txt,2309,2,6,3.454742,7977,0,0,62,1225,934,86,2,0
aline,aline.txt,2309,2,6,3.455175,7978,0,0,78,1194,946,90,1,0
crost,crost.txt,2309,2,6,3.455175,7978,0,0,69,1222,921,92,5,0
liane,liane.txt,2309,2,6,3.455175,7978,0,0,74,1210,928,94,3,0
prase,prase.txt,2309,2,6,3.455175,7978,0,0,81,1201,926,97,4,0
store,store.txt,2309,1,6,3.455175,7978,1,1,68,1216,930,91,3,0
